Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
f0354477-aa8b-5f95-82d5-c5e5d631023d,90746c49-81fb-496a-bba3-1395a5304cd6,Hydrotreated Light Petroleum Distillates,FALSE,70.0,64742-47-8,FALSE,WEIGHT,NONE
da3f1651-3b4a-511c-a0ca-fb5cd0cf7da7,90746c49-81fb-496a-bba3-1395a5304cd6,2-Ethylhexyl Nitrate,FALSE,35.0,27247-96-7,FALSE,WEIGHT,NONE
58903251-893b-587a-b928-16810967b331,90746c49-81fb-496a-bba3-1395a5304cd6,Light Aromatic Solvent Naphtha,FALSE,10.0,64742-95-6,FALSE,WEIGHT,NONE
b23d6d9c-3202-549a-b0bc-98e80564f55a,90746c49-81fb-496a-bba3-1395a5304cd6,Heavy Aromatic Solvent Naphtha,FALSE,5.0,64742-94-5,FALSE,WEIGHT,NONE
5d4be14f-de1e-53df-9eb6-575538b8f92d,90746c49-81fb-496a-bba3-1395a5304cd6,"1,2,4-Trimethylbenzene",FALSE,5.0,95-63-6,FALSE,WEIGHT,NONE
e99abf56-3626-50ac-800e-a6b0492bf63b,90746c49-81fb-496a-bba3-1395a5304cd6,N-Propylbenzene,FALSE,1.0,103-65-1,FALSE,WEIGHT,NONE
8d327c43-363c-57a1-80a5-2472d14de351,90746c49-81fb-496a-bba3-1395a5304cd6,"1,3,5-Trimethylbenzene",FALSE,1.0,108-67-8,FALSE,WEIGHT,NONE
cace280a-3161-50f7-8685-571366280e15,90746c49-81fb-496a-bba3-1395a5304cd6,Naphthalene,FALSE,1.0,91-20-3,FALSE,WEIGHT,NONE
8e601f5b-173d-5127-86fa-b12a7f4f8fbf,90746c49-81fb-496a-bba3-1395a5304cd6,Ethylbenzene,FALSE,1.0,100-41-4,FALSE,WEIGHT,NONE
38b0f683-9d53-514e-9991-e382cda429c2,90746c49-81fb-496a-bba3-1395a5304cd6,Cumene,FALSE,1.0,98-82-8,FALSE,WEIGHT,NONE
0792b326-ecc0-5a89-ad26-9e3875517a91,90746c49-81fb-496a-bba3-1395a5304cd6,"1,2,3-Trimethylbenzene",FALSE,0.3,526-73-8,FALSE,WEIGHT,NONE
53ed85f8-cdb5-568c-8be9-70e9633aba6e,05c53001-bdf8-4118-8560-f12e3c7bab8f,Sodium Sesquicarbonate,FALSE,5.0,533-96-0,FALSE,WEIGHT,NONE
fa139548-0810-56f2-8cd7-bf0b96cfa82e,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Triethylene Glycol Monobutyl Ether,FALSE,35.0,143-22-6,FALSE,WEIGHT,NONE
a04b8fd2-9972-58af-ad05-6fe11af8d7a5,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Triethylene Glycol Monoethyl Ether,FALSE,20.0,112-50-5,FALSE,WEIGHT,NONE
57a45bbe-bdf9-55bb-8ef0-377d8ad28087,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Diethylene glycol,FALSE,20.0,111-46-6,FALSE,WEIGHT,NONE
918a87fa-9b45-58c3-b57c-c4f1c429dc42,2b0eae8e-4896-43e6-a1b6-8586ae944d22,"3,6,9,12-Tetraoxahexadecan-1-ol",FALSE,14.0,1559-34-8,FALSE,WEIGHT,NONE
f653decf-bb47-528a-8074-c0bd82663236,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Triethylene Glycol Monomethyl Ether,FALSE,10.0,112-35-6,FALSE,WEIGHT,NONE
cbea4651-3951-58a4-9383-a49c8f318e3b,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Tetraethylene Glycol,FALSE,10.0,112-60-7,FALSE,WEIGHT,NONE
bbdbb446-ac94-538a-b0b8-fa68dc8e9311,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Diethylene Glycol Monobutyl Ether,FALSE,8.0,112-34-5,FALSE,WEIGHT,NONE
54018e25-f54a-54b3-94c8-ca08c8f31e76,2b0eae8e-4896-43e6-a1b6-8586ae944d22,"3,6,9,12,15,18-Hexaoxaeicosane",FALSE,5.0,23601-39-0,FALSE,WEIGHT,NONE
31132886-e797-5067-b0da-fd104acbaf13,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Polyethylene Glycol Monomethyl Ether,FALSE,4.0,9004-74-4,FALSE,WEIGHT,NONE
b47e0803-ebf2-546b-bb3e-169ca714918d,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Diethylene Glycol Monoethyl Ether,FALSE,2.0,111-90-0,FALSE,WEIGHT,NONE
4c22f8c7-05ee-59bb-9092-93ce44140469,2b0eae8e-4896-43e6-a1b6-8586ae944d22,Diethylene Glycol Monomethyl Ether,FALSE,1.0,111-77-3,FALSE,WEIGHT,NONE
ee9fb7ac-1412-514b-9c42-1b7ce1f12713,65c5071c-41a4-4699-8ebb-4808c575e657,Triethylene Glycol Monomethyl Ether Borate ester,FALSE,40.0,30989-05-0,FALSE,WEIGHT,NONE
94bf9889-9b82-5b17-b76c-537ba33c94a3,65c5071c-41a4-4699-8ebb-4808c575e657,Triethylene Glycol Monomethyl Ether,FALSE,40.0,112-35-6,FALSE,WEIGHT,NONE
95342850-3fc5-56ec-8e4a-3399f7fb351a,65c5071c-41a4-4699-8ebb-4808c575e657,Triethylene Glycol Monobutyl Ether,FALSE,40.0,143-22-6,FALSE,WEIGHT,NONE
30e69b21-db73-503a-b666-ca1b828c8131,65c5071c-41a4-4699-8ebb-4808c575e657,Triethylene Glycol,FALSE,20.0,112-27-6,FALSE,WEIGHT,NONE
f94735b1-c222-516f-81fd-cc5c3c544f83,65c5071c-41a4-4699-8ebb-4808c575e657,Polyethylene Glycol Monomethyl Ether,FALSE,28.0,9004-74-4,FALSE,WEIGHT,NONE
c1cecce3-e4be-5638-a234-1a7f94ecf879,65c5071c-41a4-4699-8ebb-4808c575e657,Tetraethylene Glycol,FALSE,10.0,112-60-7,FALSE,WEIGHT,NONE
c89485b4-acf3-585a-bb31-47d74ac3d753,65c5071c-41a4-4699-8ebb-4808c575e657,Diethylene Glycol,FALSE,10.0,111-46-6,FALSE,WEIGHT,NONE
33634896-137d-596d-be7d-b35eb99e71dc,65c5071c-41a4-4699-8ebb-4808c575e657,Polyethylene Glycol Monobutyl Ether,FALSE,5.0,9004-77-7,FALSE,WEIGHT,NONE
7f8c61b2-05a3-515d-89a3-b5bbcadf73e6,65c5071c-41a4-4699-8ebb-4808c575e657,Diisopropanolamine,FALSE,5.0,110-97-4,FALSE,WEIGHT,NONE
1b8eee65-f627-5daf-b7e0-80f216940333,65c5071c-41a4-4699-8ebb-4808c575e657,Diethylene Glycol Monobutyl Ether,FALSE,3.0,112-34-5,FALSE,WEIGHT,NONE
e203ec68-b57d-576d-bd2c-b19c21525d68,65c5071c-41a4-4699-8ebb-4808c575e657,Tetraethylene Glycol Monobutyl Ether,FALSE,3.0,1559-34-8,FALSE,WEIGHT,NONE
7f6cb640-9e55-5a88-a14a-c1263fd472cd,65c5071c-41a4-4699-8ebb-4808c575e657,Diethylene Glycol Monomethyl Ether,FALSE,1.0,111-77-3,FALSE,WEIGHT,NONE
4cdfb00a-adb7-52cf-92e3-23a8c961a5c9,65c5071c-41a4-4699-8ebb-4808c575e657,"2,6-Di-tert-butyl-p-cresol",FALSE,1.0,128-37-0,FALSE,WEIGHT,NONE
7504919b-13e7-59cd-8645-251c00276c76,c93efc1f-91f2-417c-bce7-38a8c370e381,Mineral Oil,FALSE,100.0,64742-58-1,FALSE,WEIGHT,NONE
329091df-bc93-53d1-816f-1d6c7eeeae71,c93efc1f-91f2-417c-bce7-38a8c370e381,Hydrotreated Heavy Paraffinic Oil,FALSE,100.0,64742-54-7,FALSE,WEIGHT,NONE
75230b83-63d0-5c57-9a38-b3ee2790bf9e,c93efc1f-91f2-417c-bce7-38a8c370e381,Aliphatic Petroleum Distillates,FALSE,100.0,64742-65-0,FALSE,WEIGHT,NONE
1e2c94a9-5ab4-5b20-ae69-6833f887bb9a,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,Mineral Oil,FALSE,90.0,64742-58-1,FALSE,WEIGHT,NONE
46653390-5793-5a3c-b527-7dd76c78a6af,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,Hydrotreated Heavy Paraffinic Oil,FALSE,90.0,64742-54-7,FALSE,WEIGHT,NONE
368c67ca-7a79-5eea-9bf2-e491ad56b8ab,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,Aliphatic Petroleum Distillates,FALSE,90.0,64742-65-0,FALSE,WEIGHT,NONE
1e2c94a9-5ab4-5b20-ae69-6833f887bb9a,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,Mineral Oil,FALSE,10.0,MIXTURE,FALSE,WEIGHT,NONE
44b4c5bd-7b97-5679-9e90-d8c6f2483204,fb8dc852-19c0-4918-b02f-0b89eacc26a2,"Petroleum distillates, solvent dewaxed heavy paraffinic",FALSE,60.0,64742-65-0,FALSE,WEIGHT,NONE
be172970-9d5a-5cf4-81b1-6ecb4faeeff6,fb8dc852-19c0-4918-b02f-0b89eacc26a2,Mineral Oil,FALSE,60.0,64742-58-1,FALSE,WEIGHT,NONE
79297d85-949c-5ec0-8849-b90b6b017974,fb8dc852-19c0-4918-b02f-0b89eacc26a2,"Alkanes, C14-C16, Chloro",FALSE,25.0,1372804-76-6,FALSE,WEIGHT,NONE
