Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
9afb674b-4c9a-54fc-a04f-aaac5f32f651,f5e52940-f35e-4e23-843b-539952704202,Motorcraft SAE 5W-20 Synthetic Motor Oil,FALSE,100.0,,TRUE,VOLUME,NONE
f5b8b4c0-c88e-57ff-ab33-c544f9aba187,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,Sulfuric Acid (Dilute),FALSE,35.0,7664-93-9,FALSE,WEIGHT,NONE
05d7c498-33a7-5ee1-8df9-6c1a6ba7cc6a,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,"Fuels, diesel, no. 2",FALSE,100.0,68476-34-6,FALSE,VOLUME,NONE
b189c549-85bc-5e53-9a6e-7d63dbc7d1c3,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,Biodiesel - Fatty acid methyl esters,FALSE,10.0,67762-38-3,FALSE,VOLUME,NONE
d4531922-0579-5d03-84f1-69912f83edce,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,"Fuels, diesel, C9-18-alkane branched and linear",FALSE,5.0,1159170-26-9,FALSE,VOLUME,NONE
b93747e0-4ce2-5e13-be1d-e405f05bab35,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,n-Nonane,FALSE,3.0,111-84-2,FALSE,VOLUME,NONE
9c4ae30e-80d2-5ade-86a2-3439e418d36f,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,Octane (All isomers),FALSE,2.0,111-65-9,FALSE,VOLUME,NONE
35d2aa0a-f3af-5bf6-96bb-df33fbda6782,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,Hexane (Other isomers),FALSE,1.0,96-14-0,FALSE,VOLUME,NONE
a462cad6-165e-5e51-879b-6f8063c6af3b,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,Naphthalene,FALSE,1.0,91-20-3,FALSE,VOLUME,NONE
a282184c-9cc6-55ef-a272-a72aaff41d72,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,n-Heptane,FALSE,1.0,142-82-5,FALSE,VOLUME,NONE
b164ec83-eedc-58cc-b879-9de5bf6df8e1,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,n-Hexane,FALSE,1.0,110-54-3,FALSE,VOLUME,NONE
ac744f72-ea82-5bb0-84d5-c608a8e8c6f4,9d0e4066-42b6-40d8-b59f-c934453dd9cb,BENZENE,FALSE,5.0,71-43-2,FALSE,WEIGHT,NONE
563d06db-ae02-529c-9ddd-be3b017e4993,9d0e4066-42b6-40d8-b59f-c934453dd9cb,ETHYL BENZENE,FALSE,5.0,100-41-4,FALSE,WEIGHT,NONE
aa440f91-5e60-5438-a880-047f886afee5,9d0e4066-42b6-40d8-b59f-c934453dd9cb,HYDROGEN SULFIDE,FALSE,1.0,7783-06-4,FALSE,WEIGHT,NONE
50958b1c-21f4-5a96-aa8e-c31ac5248f2a,9d0e4066-42b6-40d8-b59f-c934453dd9cb,N-HEXANE,FALSE,5.0,110-54-3,FALSE,WEIGHT,NONE
3a913580-8639-5051-b1e6-caeba332d725,9d0e4066-42b6-40d8-b59f-c934453dd9cb,NAPHTHALENE,FALSE,1.0,91-20-3,FALSE,WEIGHT,NONE
d838a259-cbb6-5bcd-b7a4-ecf8c250e200,9d0e4066-42b6-40d8-b59f-c934453dd9cb,TOLUENE,FALSE,10.0,108-88-3,FALSE,WEIGHT,NONE
50cd54f4-ab9e-5bfb-af75-874a2eb6b047,9d0e4066-42b6-40d8-b59f-c934453dd9cb,TRIMETHYL BENZENE,FALSE,10.0,25551-13-7,FALSE,WEIGHT,NONE
c952f85e-4acb-5c07-ae50-d0d69e61ea1f,9d0e4066-42b6-40d8-b59f-c934453dd9cb,XYLENES,FALSE,10.0,1330-20-7,FALSE,WEIGHT,NONE
e4593164-c822-5122-8e35-0cea140bf951,d5cc0890-8248-4737-b9d5-d10da0f2a20e,ETHYLBENZENE,FALSE,0.0,100-41-4,FALSE,WEIGHT,NONE
3e4efc4c-1987-50e3-b4d0-e98d04ed93d2,9af4a39b-2220-46a6-9de3-d6a0368505b8,"Distillates, hydrotreated heavy paraffinic",FALSE,85.0,64742-54-7,FALSE,WEIGHT,NONE
a6fdff18-b2b8-5ad2-8685-18235fb33e65,9af4a39b-2220-46a6-9de3-d6a0368505b8,"Lubricating oils, petroleum, C20-50, hydrotreated neutral oil-based",FALSE,35.0,72623-87-1,FALSE,WEIGHT,NONE
