Tenant ID,Facility Chemical Id,Facility Id,Chemical Id,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e40cd4b0-6fa4-444f-8b74-9bbef7dd981e,e17e2bf3-7900-4239-9430-eb50bc37b56c,e40cd4b0-6fa4-444f-8b74-9bbef7dd981e,2023,null,null,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,c9314fcb-bf89-4aae-8f4b-b835897586f1,e17e2bf3-7900-4239-9430-eb50bc37b56c,c9314fcb-bf89-4aae-8f4b-b835897586f1,2023,null,50,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,80641344-b1c6-4289-89b2-448da391e748,e17e2bf3-7900-4239-9430-eb50bc37b56c,80641344-b1c6-4289-89b2-448da391e748,2023,null,null,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,6f17d373-fe6f-45ae-a656-6092d4632c22,e17e2bf3-7900-4239-9430-eb50bc37b56c,6f17d373-fe6f-45ae-a656-6092d4632c22,2023,null,null,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,ec1d331b-e3d7-45fb-875c-b053066704c1,e17e2bf3-7900-4239-9430-eb50bc37b56c,ec1d331b-e3d7-45fb-875c-b053066704c1,2023,null,1000,0,GALLONS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,e17e2bf3-7900-4239-9430-eb50bc37b56c,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,2023,null,50,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,b37de071-4e1a-430c-97cc-7cd9a35aba80,e17e2bf3-7900-4239-9430-eb50bc37b56c,b37de071-4e1a-430c-97cc-7cd9a35aba80,2023,null,null,0,GALLONS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,a8d21118-aea1-4aac-ab42-438c3ae3c4b6,e17e2bf3-7900-4239-9430-eb50bc37b56c,a8d21118-aea1-4aac-ab42-438c3ae3c4b6,2023,null,null,0,GALLONS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,da5142bf-0af0-458f-b580-baa5e4440063,e17e2bf3-7900-4239-9430-eb50bc37b56c,da5142bf-0af0-458f-b580-baa5e4440063,2023,null,null,0,GALLONS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e227cefe-3947-4a37-81d2-aac96d800f3d,e17e2bf3-7900-4239-9430-eb50bc37b56c,e227cefe-3947-4a37-81d2-aac96d800f3d,2023,null,null,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,37f5383a-80d5-4dac-b6b3-9be14a85bb38,e17e2bf3-7900-4239-9430-eb50bc37b56c,37f5383a-80d5-4dac-b6b3-9be14a85bb38,2023,null,null,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,18cdf8bb-92c5-48fe-8635-c9a49bcec807,e17e2bf3-7900-4239-9430-eb50bc37b56c,18cdf8bb-92c5-48fe-8635-c9a49bcec807,2023,null,null,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,207ddbcf-d9c1-438a-82d2-ccaf95e73114,e17e2bf3-7900-4239-9430-eb50bc37b56c,207ddbcf-d9c1-438a-82d2-ccaf95e73114,2023,null,100,0,QUARTS,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,2781d8e8-0481-4859-bb40-24ab609ddcd5,e17e2bf3-7900-4239-9430-eb50bc37b56c,2781d8e8-0481-4859-bb40-24ab609ddcd5,2023,null,null,50,OUNCES,365,false,true
5a9b2331-09e9-4bea-b35d-1556e4a160b2,096c2a37-33e8-46b6-a681-207adc482663,de6fc613-1631-4719-94ae-e5a240863c7b,096c2a37-33e8-46b6-a681-207adc482663,2023,240,120,2,POUNDS,365,false,true
