Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
f2defe98-77c6-4f7c-a15b-7721c327cbd1,89fe1e37-6138-456b-a491-f0a33fe1d86b,ethylene glycol,FALSE,50.0,107-21-1,FALSE,WEIGHT,
3d85208d-48ee-4428-85e9-b4897494a00a,89fe1e37-6138-456b-a491-f0a33fe1d86b,water,FALSE,50.0,7732-18-5,FALSE,WEIGHT,
0e6cc306-0815-4235-ae75-babecad1059d,89fe1e37-6138-456b-a491-f0a33fe1d86b,diethylene glycol,FALSE,3.0,111-46-6,FALSE,WEIGHT,
a661c7b5-02e3-4812-b833-8c784c74984d,89fe1e37-6138-456b-a491-f0a33fe1d86b,denatonium benzoate,FALSE,0.01,3734-33-6,FALSE,WEIGHT,
7c2b008a-3d25-45d5-a9fd-6f0e5f659224,10c85505-fa72-4b6d-bd53-4a27671e601e,"BENZENAMINE, AR-NONYL-N-(NONYL PHENYL)-",FALSE,5.0,36878-20-3,FALSE,WEIGHT,
931baf3f-049a-4da8-bd7c-d8960241977f,10c85505-fa72-4b6d-bd53-4a27671e601e,POLYOLEFIN POLYAMINE SUCCINIMIDE,FALSE,5.0,147880-09-9,FALSE,WEIGHT,
119252c2-06d9-4d20-8303-5c6ba3ba5bc7,10c85505-fa72-4b6d-bd53-4a27671e601e,SEVERELY HYDROTREATED HEAVY PARAFFINIC DISTILLATE,FALSE,70.0,64742-54-7,FALSE,WEIGHT,
09b7a2d3-8a10-4666-ae66-d748ba901240,10c85505-fa72-4b6d-bd53-4a27671e601e,ZINC ALKYLDITHIOPHOSPHATE,FALSE,1.0,68649-42-3,FALSE,WEIGHT,
d0e21db1-2e60-4e59-b110-b91d77cf1d24,1ebe6750-af13-46df-a42d-399819628266,acetone,FALSE,99.0,67-64-1,FALSE,WEIGHT,
95873396-48d9-432c-9224-9c01fe7924d7,1ebe6750-af13-46df-a42d-399819628266,xylene,FALSE,2.5,1330-20-7,FALSE,WEIGHT,
7a5c7653-618b-4c76-acbd-0d7957de9869,74404669-a4b5-47d0-9da1-c9952c712b20,"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based",FALSE,100.0,72623-87-1,FALSE,WEIGHT,
aee9b3da-e06d-4e84-bc9b-fb6f013c8f56,74404669-a4b5-47d0-9da1-c9952c712b20,"Petroleum distillates, hydrotreated heavy paraffinic",FALSE,10.0,64742-54-7,FALSE,WEIGHT,
6732df49-278e-45b8-beee-22d5a9d1b889,74404669-a4b5-47d0-9da1-c9952c712b20,"Amines, polyethylenepoly-, reaction products with succinic anhydride polyisobutenyl derivs., borated",FALSE,1.5,EPA-ACC-17799,FALSE,WEIGHT,
0b6a5854-c485-4f4e-bddd-8a21dd8888c6,74404669-a4b5-47d0-9da1-c9952c712b20,"Petroleum distillates, solvent dewaxed heavy paraffinic",FALSE,1.0,64742-65-0,FALSE,WEIGHT,
4e06f750-1bed-4525-9339-c0bc8c9b37e6,74e690ab-a5e5-4d65-a965-b38ddd9d583a,Bis(nonylphenyl)amine,FALSE,0.6,01-2119488911-28,FALSE,WEIGHT,
10705a09-0a29-419d-9b0d-bc3fa304e2be,74e690ab-a5e5-4d65-a965-b38ddd9d583a,"C7-9-alkyl-3-(3,5-di-trans-butil-4-hidroksifenil)propanoato isomers",FALSE,0.6,,TRUE,WEIGHT,
05c3c0ef-7250-4c23-b61d-94387f1e2668,74e690ab-a5e5-4d65-a965-b38ddd9d583a,"3-(decyloxy)tetrahydrothiophene 1,1-dioxide",FALSE,0.3,,TRUE,WEIGHT,
9836ed0a-8137-40be-9de0-a93f5f91b82c,74e690ab-a5e5-4d65-a965-b38ddd9d583a,Reaction product of alkylthioalcohol and substituted phosphorus compound,FALSE,0.3,01-0000017126-75,FALSE,WEIGHT,
dfcf9584-9c1f-4dac-b8dd-9b78b21d3062,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Isopropyl alcohol,FALSE,30.0,67-63-0,FALSE,WEIGHT,
fd292090-e307-4465-b8fa-d9b691d0f913,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Xylene,FALSE,20.0,1330-20-7,FALSE,WEIGHT,
9f385946-ecd5-45be-9493-b7c5e6a4bccd,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Polyether amine,FALSE,20.0,,TRUE,WEIGHT,
c7cab541-19b0-4fa2-b3d4-8bcdf84ddc1a,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Butyl cellosolve,FALSE,20.0,111-76-2,FALSE,WEIGHT,
e84e7d46-186c-4f5e-be52-9d0dac8c8e7c,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Toluene,FALSE,20.0,108-88-3,FALSE,WEIGHT,
dc0f46a5-6e07-4cfa-8fe0-617f063a50e4,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Ethyl benzene,FALSE,5.0,100-41-4,FALSE,WEIGHT,
e26fcca2-bcc8-4313-bc13-5fc7cc7f4898,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Morpholine,FALSE,5.0,110-91-8,FALSE,WEIGHT,
d92722a1-55b2-4c82-8856-569efc995fd4,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Alkenyl amine,FALSE,5.0,,TRUE,WEIGHT,
a792e9fb-eaaf-4cf7-b009-0904858dce0c,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Cyclic amide,FALSE,5.0,872-50-4,FALSE,WEIGHT,
bca6a4e4-a581-4550-8975-79a7886291c8,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,Triethanolamine,FALSE,5.0,102-71-6,FALSE,WEIGHT,
90cb3964-6bc6-49db-b111-b4b139446fd8,4acf93ba-ac3d-4add-b8e6-e4e750126c1d,Mineral Oil,FALSE,90.0,,TRUE,WEIGHT,
